,risk1_roi,risk2_roi,risk3_roi,risk4_roi,risk5_roi
2020-03-04,11.571958598420025,38.68380911229926,49.23239081711503,52.10943048549552,75.72569434919245
2020-03-05,11.59755536955143,38.67508592500431,49.208384013208274,52.16492537463387,76.43169199682
2020-03-06,11.623141280414444,38.8866324040377,49.46952603842499,52.614040203860185,77.2986184670689
2020-03-07,11.648686571598844,39.27103773134377,50.11770118254577,53.55527876507648,78.482375502384
2020-03-08,11.674175056440305,39.61829580007344,50.760955177771876,54.30086693713477,79.38684660641132
2020-03-09,11.699638910825684,39.19572270531103,50.01246684581997,53.209300409402715,78.55208587409459
2020-03-10,11.725209702522406,38.41038111696014,48.7176178591597,51.3350150782251,76.83438001877556
2020-03-11,11.750833808762621,37.7435109902178,47.65863542695695,49.75251603424479,75.17036938425372
2020-03-12,11.776475573298455,37.05714057158622,46.47946404014647,47.88068919864634,73.0500255322973
2020-03-13,11.802233708445641,33.80135314933247,41.252511237362,40.67108596640102,65.10640025298244
2020-03-14,11.828868205855116,30.638925851536897,36.17687937801168,33.87680084097772,57.78372283918395
2020-03-15,11.855613414166982,27.237338241944215,30.766482473514515,26.80895991100664,50.18776308722798
2020-03-16,11.88333854209344,24.719342103086518,26.90083167617763,21.886303794721854,44.651052817311154
2020-03-17,11.911484871841452,21.803680302540855,22.331490860339585,16.16027868873249,38.10480299681285
2020-03-18,11.939704760238016,19.11057222624467,18.06102531257025,10.803209253775663,31.84249422087362
2020-03-19,11.967940887801674,16.303936250173464,13.768362274694326,5.56643899365497,25.758694737736903
2020-03-20,11.996032544422803,17.4802259172763,15.45819509938049,7.711153442377821,27.984923045663322
2020-03-21,12.023218212202451,18.099505888800834,16.050619669281772,8.285194160053607,28.42225210814226
2020-03-22,12.05023521143238,19.034623546692615,17.148410767468903,9.534182661639335,29.690884915698774
2020-03-23,12.076129168963348,19.455359494267512,17.515989959874474,9.879217885469359,29.965353015278993
2020-03-24,12.101241497664915,20.922486975396097,19.46209142462436,12.028690036610982,32.32031490038014
2020-03-25,12.126018297849313,22.264735124947876,21.22327116345724,13.918877666708653,34.430395396771786
2020-03-26,12.150475481891618,23.542140007175902,22.859845804022882,15.638753979498674,36.300218723689795
2020-03-27,12.174732639263908,24.075247800246785,23.425313832613853,16.20379896886412,36.882971554435215
2020-03-28,12.198866978086585,24.25253662456248,23.564074972624283,16.38826350464352,36.922728434502375
2020-03-29,12.222856535080922,24.360382034165468,23.656998871825408,16.55859855567968,36.92180412824899
2020-03-30,12.246707746023276,24.446916277675754,23.79565705499273,16.794970198228498,37.08664368136891
2020-03-31,12.270424038514577,24.40168169236388,23.68188063406602,16.794574948709425,36.95254876412179
2020-04-01,12.294032482795004,24.12928194402977,23.29537969854431,16.56510482041844,36.624454650528605
2020-04-02,12.317561880306599,24.104415913975515,23.266519129995686,16.742035388998133,36.756405673642405
2020-04-03,12.341046959189384,24.179362224572856,23.391540060789467,16.933810375060446,36.92566080231552
2020-04-04,12.364477810816624,24.555177287321726,23.982905283233492,17.705150429359236,37.743525882197446
2020-04-05,12.387892851700258,25.164438478772553,24.841896749225185,18.75714457522257,38.839404960956756
2020-04-06,12.411306906208083,26.02147085666428,26.04232875216769,20.236856576049917,40.36997914458959
2020-04-07,12.434745280718744,27.02150229813924,27.779510218478677,22.40814264033085,42.59935557192236
2020-04-08,12.45827402935268,27.86971464159255,29.232183001368412,24.196647752193485,44.55133207546899
2020-04-09,12.481928919243728,28.68299951771806,30.742411569984796,26.116634206106795,46.8616072673627
2020-04-10,12.505629433111665,29.2666337195634,31.860965158462562,27.61048251771328,48.87680530660336
2020-04-11,12.529357477873049,29.492395603863628,32.386518514239924,28.247063233923683,50.07328766859405
2020-04-12,12.5531309834941,29.614613004243978,32.761221556583706,28.6740554969399,51.12531813449837
2020-04-13,12.576984087374598,29.829924540263818,33.26261053615525,29.309324797192573,52.43630307155905
2020-04-14,12.600909579719655,29.430317817365676,32.61649756402045,28.65545956086575,52.35230829482751
2020-04-15,12.624820097046694,29.15037571795375,32.214665372126206,28.330748665331186,52.38084615439885
2020-04-16,12.64868092052302,28.492228853155183,31.18862181326628,27.16242650715874,51.37269635992757
2020-04-17,12.672537862582601,28.33696001862259,31.056146947247242,27.021901341072564,51.38079050801136
2020-04-18,12.69637808580083,28.571720441200767,31.519277045360127,27.687618635642423,52.15626040235682
2020-04-19,12.72014063905624,29.055903553462997,32.52240935198685,29.055509375724114,53.67123786792476
2020-04-20,12.743805441114887,29.372023200649664,33.21286775314809,30.00072169162692,54.64959651495428
2020-04-21,12.767387437067413,29.47338792324385,33.55438135331849,30.34724199675543,55.01976749673619
2020-04-22,12.790947772957566,29.54999434079309,33.83727077115975,30.61386376232312,55.35775710748629
2020-04-23,12.814456368684588,30.117925196994463,34.91189523970371,31.91033055887877,56.79730067055422
2020-04-24,12.837911694720091,30.466346192238433,35.48264249809739,32.7176239183062,57.610226295195076
2020-04-25,12.861363155144602,30.94392816541773,36.25435035484395,33.76372831445059,58.69098098350423
2020-04-26,12.884884563562395,31.236167316581174,36.66880986124613,34.3637537757952,59.22187950784286
2020-04-27,12.908499741830042,31.786072668414704,37.5188137282191,35.593763296727076,60.5163403264464
